,chanel,link,date,text
0,@aviatorshina,https://t.me/aviatorshina/4117,2024-01-16 21:09:49,"Появилось видео выкатывания самолета Boeing Ту-204 «Почты России» за пределы взлетно-посадочной полосы в аэропорту города Мирный. 

По словам двух источников, при посадке с курсом 248° самолет перелетел половину ВПП и поздно коснулся земли — в районе третьей рулежной дорожки, откуда начинается уклон и полоса уходит вниз. 

Ту-204 садился почти при попутном ветре 3 м/с и видимости 2 тыс. метров. На его борту находились три члена экипажа, два человека из инженерно-технического персонала и 17 тонн почты и груза. Коэффициент сцепления на ВПП соответствовал минимально допустимому — 0,3."
1,@aviatorshina,https://t.me/aviatorshina/4116,2024-01-16 14:07:45,"Правительство РФ утвердило новый инвестпроект по развитию авиационной промышленности, который будет финансироваться из Фонда национального благосостояния (ФНБ) в размере более 280 млрд рублей.

Программа включает в себя расширение производства воздушных судов, двигателей, приборов и агрегатов, а также техническое перевооружение предприятий и увеличение заводских мощностей. Планируется выпуск более 600 полностью отечественных самолетов до 2030 года. Для финансирования проекта из ФНБ выделено до 283,8 млрд рублей, часть которых будет привлечена через размещение 15-летних облигаций под 1,5% годовых. Бизнес-план ""Ростеха"" предусматривает производство более 1800 самолетов до 2040 года, а общая программа госкорпорации оценивается в более 1 трлн рублей. Кроме ФНБ, финансирование также планируется привлечь из банков, федерального бюджета и средств предприятий авиапрома. Объем ""внутреннего и экспортного рынков"" до 2040 года оценивается в 1869 воздушных судов, а объем капиталовложений для инвестпроекта составляет 1,003 трлн рублей."
2,@aviatorshina,https://t.me/aviatorshina/4115,2024-01-16 07:11:45,"У пассажирского самолета при вылете из Якутска разрушилась шина одного колеса. 

Вчера утром на взлетно-посадочной полосе якутского аэропорта обнаружили многочисленные куски резины сразу после вылета Boeing 737-800 авиакомпании «Якутия» в Москву. Это были фрагменты пневматика левого колеса правой стойки шасси, который разрушился при разбеге по полосе с нарушением герметичности. 

Отлетевшие куски резины повредили нижнюю панель правого полукрыла и хвостовую секцию внутреннего закрылка. Кроме того, фрагменты пневматика разрушили трубку подачи гидравлической жидкости гидравлической системы А. В полете в кабине пилотов сработала индикация низкого давления гидравлического насоса.

О найденных кусках резины диспетчеры сразу же сообщили пилотам «Якутии», выполнявшим рейс в Москву. Посадка во Внуково была выполнена благополучно. На послеполетном осмотре самолета обнаружили расслоение и и повреждение протектора шины, по три вмятины на панели правого полукрыла и хвостовой секции закрылка, а также разрушенную трубку одной из гидросистем. 

Борт отстранили от полетов, на нем уже заменили поврежденные и разрушенные компоненты. Самолет пока не вернулся к полетам."
3,@aviatorshina,https://t.me/aviatorshina/4114,2024-01-15 18:59:32,"Росавиация запретила полеты в Египет на 27 самолетах ГТЛК из-за риска их ареста. 

Росавиация на прошлой неделе направила в авиакомпании «Аэрофлот» и «Россия» телеграмму, в которой попросила их не выполнять полеты в Египет на 27 самолетах начиная с 12 января и до особого решения, пишут «Известия». 

Данную телеграмму Росавиация выпустила сразу после получения по закрытым каналам информации о рисках ареста этих самолетов в аэропортах Египта. 

«Аэрофлоту» рекомендовали не летать в Египет на 24 бортах: десяти Airbus A320, девяти Boeing 777-300ER, четырех Airbus A321 и одном Airbus A350, а «России» — на трех Boeing 737-800. Обе компании сейчас не выполняют рейсы Египет на этих машинах. В авиакомпании «Россия» пояснили, что данное решение не оказывает влияния на выполнение производственной программы перевозчика. 

Эти 27 самолетов принадлежат Государственной транспортной лизинговой компании (ГТЛК). Они входят в число тех 37 бортов, которые сейчас у ГТЛК пытаются незаконно изъять в Высоком суде Ирландии. Остальные самолеты эксплуатируют авиакомпании (S7, «Аврора» и «Ямал»), которые в настоящее время не летают в Египет. 

Эти машины приобрела европейская дочка ГТЛК — GTLK Europe, из-за введенных санкций прошлой весной она попала под процедуру банкротства. Все полномочия органов управления перешли к ликвидаторам, они осуществляют продажу имущества компаний для формирования денежного потока в целях расчета с кредиторами. В список их требований попали и 37 самолетов. 

Ликвидаторы инициировали судебный процесс в Ирландском суде с целью противоправного изъятия 37 самолетов у ГТЛК, указывал в декабре лизингодатель в своем заявлении в Арбитражный суд ЯНАО. В нем же ГТЛК предупреждала, что удовлетворение требований ликвидаторов приведет к невозможности нормальной эксплуатации воздушных судов, поскольку они будут задерживаться в аэропортах по всему миру, а в иностранном контуре их могут объявить угнанными. 

14 декабря Высокий суд Ирландии рассмотрел требования ликвидаторов по существу, его решение должны были огласить в 20-х числах декабря. Как сообщают «Известия», ГТЛК в итоге проиграла разбирательство в Ирландском суде — он удовлетворил требования ликвидаторов."
4,@aviatorshina,https://t.me/aviatorshina/4113,2024-01-15 11:10:18,"«Уральские авиалинии», похоже, нарвались на внеочередную проверку Госавианадзора. 

Предварительно авиаперевозчик дважды допустил к полету самолет с неисправным двигателем. Но в обоих случаях он никуда не улетел.

Вчера рано утром Airbus A321 (RA-73794) «Уральских авиалиний» должен был выполнить рейс SVR-219 из Екатеринбурга в Сочи. Однако при разбеге пилоты прервали взлет после того, как первый двигатель не вышел на взлетный режим. Борт пришлось отстранить от полетов. Пассажиров в пункт назначения доставил резервный самолет, но на пять часов позднее расписания. 

После проверки и выполнения технических работ Airbus A321 вновь был допущен до полетов. Авиакомпания его спланировала на тот же утренний рейс в Сочи, но уже сегодня. Однако борт снова не смог вылететь из Кольцово. 

Ситуация повторилась: при разбеге по полосе пилоты прервали взлет по причине нестабильных оборотов всё того же первого двигателя, после чего борт снова отстранили от полетов. Пассажиров отправили на резервном самолете с задержкой почти на шесть часов. 

В пресс-службе авиакомании нам сообщили, что в данном случае имеют место быть замечания по топливной системе двигателя, добавив, что обнаруженная неисправность в настоящий момент находится в процессе устранения. 

Там пояснили, что по результатам расшифровок сегодня был выявлен дефект в той же системе, который проявился по-другому, уточнив, что замене подлежит топливорегулирующая аппаратура. Речь идет про топливодозирующее устройство двигателя (HMU).

По словам источника в Минтрансе, проявление одного и того же дефекта два раза подряд говорит о некачественно выполненных работах по техобслуживанию и требует детального разбирательства со стороны Госавианадзора.

UPD: в пресс-службе Ространснадзора сообщили, что ведомство планирует провести проверку «Уральских авиалиний»."
5,@aviatorshina,https://t.me/aviatorshina/4112,2024-01-15 08:07:56,"В РИА Новостях сегодня морознее, нежели в Якутии. 

В государственном информационном агентстве российского производителя самолетов «Туполев» превратили в подразделение американской корпорации Boeing. 

Тупобоинг"
6,@aviatorshina,https://t.me/aviatorshina/4111,2024-01-15 05:55:26,"Самолет «Почты России» выкатился за пределы взлетно-посадочной полосы в Якутии. 

Сегодня около шести утра по мск при выполнении посадки в аэропорту Мирный за пределы ВПП выкатился самолет Ту-204C (RA-64051), принадлежащий «Почте России» и эксплуатирующийся авиакомпанией «Авиастар-Ту». 

Борт выполнял рейс из Внуково. Предварительно при посадке он выкатился на 40 метров. Никто из пяти членов экипажа не пострадал, самолет повреждений не получил. 

Метеоусловия при посадке с курсом 248 градусов: ветер 100 градусов 3 м/с, видимость 2 тыс. метров, коэффициент сцепления на ВПП 0,3. 

В связи с выкатыванием аэропорт на три часа закрывался на прием и выпуск воздушных судов. Он открылся после буксировки Ту-204 на стоянку.

Росавиация квалифицировала это событие как серьезный авиационный инцидент и приступила к его расследованию. 

С начала 2024 года в России это уже третье выкатывание самолета за пределы ВПП."
7,@aviatorshina,https://t.me/aviatorshina/4110,2024-01-13 09:35:48,"Неспокойная ночь выдалась для авиакомпании «Победа» — за шесть часов у нее произошло три инцидента.  

В девять вечера после посадки самолета «Победы» из Москвы в аэропорту Чебоксар объявили сигнал «Тревога». После пробега по полосе пилоты доложили о срабатывании сигнализации пожара основной стойки шасси. Были подняты аварийно-спасательные расчеты. 

В ходе визуального осмотра инженерно-технический персонал видимого источника огня под передней стойкой шасси не обнаружил. С полосы борт отбуксировали на место стоянки. По расписанию обратно в Москву он должен был вылететь в 21:50, но по факту самолет улетел только сегодня утром. Задержка рейса DP6816 Чебоксары-Шереметьево составила свыше 11 часов.

Через два часа, когда на часах было одиннадцать ночи, экипаж самолета «Победы», выполнявший рейс Москва-Барнаул, пролетая над Омской областью, доложил о технической неисправности. На борту произошел отказ правой бортовой инерциальной системы. 

По докладу пилотов, у них загорелась лампа SPEED TRIM FAIL, указывающая на неисправность системы улучшения устойчивости по скорости (Speed Trim System), а также сработала индикация NO AUTOLAND, говорящая о невозможности выполнения автоматической посадки. Кроме того, на экране второго пилота не работал директор по тангажу. 

Аварийного положения экипаж при этом не декларировал — он попросил диспетчеров связаться с авиакомпанией для получения дальнейших указаний. После этого командир воздушного судна принял решение выполнить посадку на незапланированном аэродроме в  Новосибирске. В пункт назначения самолет вылетел из Толмачево спустя 2,5 часа. Обратный рейс DP6532 Барнаул-Москва был задержан на три часа.

Третье событие произошло в третьем часу ночи на борту самолета «Победы», который летел из Москвы в Уфу. Над Чувашией пилоты доложили о запахе горелой проводки в туалете и запросили спрямление на аэродром назначения. Сигнал «Срочности» и «Бедствия» они не объявляли. Борт благополучно приземлился в Уфе. Обратно в Москву он вылетел на 2,5 часа позже расписания."
8,@aviatorshina,https://t.me/aviatorshina/4109,2024-01-13 04:34:43,"Пилоты стали чаще жаловаться на неудовлетворительное состояние летного поля в аэропортах России. 

В настоящее время как минимум в «Аэрофлоте» зафиксирован рост числа добровольных сообщений от пилотов о неудовлетворительной подготовке аэродромов к приему и выпуску самолетов, что может привести к их выкатыванию за пределы летного поля и повреждению.  

Об этом говорится в сообщении директора департамента производства полетов «Аэрофлота» Игоря Бурыкина, разосланного летному составу. 

С целью достоверного определения состояния аэродромных покрытий он попросил пилотов по возможности обеспечивать фото и видео документирование таких факторов как снег, ледяные отложения и брустверы на ВПП, рулежных дорожках и перроне. 

Повышенное внимание на состояние летного поля нужно уделять при полетах в Хабаровск, Уфу, Ханты-Мансийск и Челябинск, указал Игорь Бурыкин.

UPD: Уральская транспортная прокуратура уже отреагировала на нашу публикацию и инициировала надзорные мероприятия в аэропорту Челябинска по вопросу исполнения законодательства в сферах защиты прав пассажиров на воздушном транспорте и безопасности полетов при содержании и эксплуатации взлетно-посадочной полосы."
9,@aviatorshina,https://t.me/aviatorshina/4108,2024-01-12 19:54:07,"Пассажирских самолет Як-42 выкатился за пределы полосы в аэропорту Архангельска. 

Авиационный инцидент произошел около шести вечера с воздушным судном Як-42 (RA-42458) авиакомпании «Арктика», который следовал с архипелага Новая Земля. 

После посадки в архангельском аэропорту самолет выкатился за пределы взлетно-посадочной полосы. Метеоусловия при посадке: RVR400.350.750Ю ВНГО 50, T 18.6, КСЦ 0.37, мокрый снег 1мм, местами мерзлый снег 5 мм. 

На борту находились 59 человек: пять членов экипажа и 54 пассажира. Все они эвакуированы в здание аэровокзала. Никто из них не пострадал. Предварительно застрявший в снегу Як-42 внешних повреждений не получил, он был отбуксирован на стоянку. 

В результате инцидента выкатившийся самолет блокировал ВПП — аэропорт был закрыт на прием и выпуск воздушных судов в течение семи часов. В это время на запасной аэродром перенаправлены три самолета: один «Северстали» из Мурманска и два «России» из Санкт-Петербурга и Москвы. Еще нескольких рейсов были задержаны. 

По факту выкатывания самолета за пределы полосы Западное МСУТ СКР организовало доследственную проверку по признакам преступления, предусмотренного ст.263 УК РФ (нарушение правил безопасности движения воздушного транспорта). Транспортная прокуратура в свою очередь начала проводить проверку исполнения законодательства о безопасности полетов. 

Расследованием этого серьезного авиационного инцидента займется комиссия Росавиации. В авиакомпанию и аэропорт с проверкой также прийдет Госавианадзор."
